ID,Genotype,Energy,Age,Parent,Iteration
365,00000010111110101011,8.592914,0,169,2
366,00000010111110101011,8.900123,0,170,2
367,00000010111110101011,8.900123,0,170,2
173,11000110101001110011,14.757588,2,73,3
174,11000110101001110011,8.617826,2,73,3
175,11100110101111001100,10.632163,2,74,3
178,10011111101101111011,11.349346,2,75,3
180,11100010111010110000,13.246339,2,78,3
181,11100000011011100110,13.932406,2,79,3
182,11000001011011100110,14.054102,2,79,3
184,01110110110000100111,13.512353,2,82,3
187,01101101100110101010,10.908842,2,89,3
188,01101101100110101010,14.055701,2,89,3
192,01010010100011001001,14.543804,2,93,3
194,10011001011110100000,12.312878,2,94,3
198,01100001101100101011,13.294634,2,97,3
199,01111111110001110010,14.191566,2,98,3
200,01111111110001110010,11.019180,2,98,3
213,10010110100011101110,14.868793,1,24,3
219,10011010100100111000,13.815413,1,35,3
241,01110001100111101110,14.015021,1,67,3
242,11101111001110100001,13.269632,1,72,3
246,01100011111101111111,14.662270,1,77,3
252,10100101111111011000,10.937036,1,87,3
254,11110011010101000100,7.626320,1,90,3
255,11110011010101000100,7.936564,1,90,3
256,10000110111110110001,7.424532,1,92,3
257,10000110111110110001,7.712234,1,92,3
258,01110011001101010010,9.555333,1,95,3
259,01110011001101010010,9.397596,1,95,3
260,01111100001011100011,5.336462,1,101,3
261,01111100001011100001,5.436217,1,101,3
262,01000111100001101100,5.943190,1,105,3
263,01000111100001101100,5.803220,1,105,3
264,01000111100001101100,7.413963,1,106,3
265,01000111100001101100,7.396396,1,106,3
266,01011011001100000001,10.585692,1,109,3
267,01011011001100000001,10.447295,1,109,3
268,01011011001100000001,6.951305,1,110,3
269,01011011001100000001,6.725299,1,110,3
270,00001100011100000100,6.967975,1,111,3
271,00001100011100000100,7.169940,1,111,3
272,10001100011100000100,6.366107,1,112,3
273,10001100011100000100,6.408955,1,112,3
274,00010010011000111100,5.686266,1,113,3
275,00010010111000111100,6.061253,1,113,3
276,01010010111000111100,7.223615,1,114,3
277,00010010111000111100,7.180861,1,114,3
278,01111011011000101100,5.100779,1,115,3
279,01111011011000101100,5.059936,1,115,3
280,01111011010000101100,5.784904,1,116,3
281,01111011010000101100,5.680298,1,116,3
282,00100110110001110001,6.519653,1,117,3
283,00000110110001111001,6.596568,1,117,3
284,00100110110001111000,6.414392,1,118,3
285,00100110110001111000,6.525128,1,118,3
286,10001110100000111011,5.111760,1,119,3
287,10001110100000110011,5.031026,1,119,3
288,10111000000010111011,6.795047,1,121,3
289,10111000000010111011,6.992453,1,121,3
290,10111000000010111011,5.268389,1,122,3
291,10111000000010111011,5.109722,1,122,3
292,00110111011101111011,6.733755,1,123,3
293,00110111011101111011,6.619162,1,123,3
294,00110111011101111011,6.412115,1,124,3
295,00110111011101111011,6.441712,1,124,3
296,00000111001101001010,7.216539,1,125,3
297,00000111001101001010,7.161496,1,125,3
298,00000111001101001010,6.542830,1,126,3
299,00000011001101001010,6.463262,1,126,3
300,00100010011100101011,8.075953,1,127,3
301,00100010011100101011,8.034278,1,127,3
302,00100010011100101011,7.267823,1,128,3
303,00100010011100101011,7.354801,1,128,3
304,00001101101000011100,7.067114,1,129,3
305,00001101101000011100,7.135940,1,129,3
306,00001101101000011100,7.442598,1,130,3
307,00001101101000011100,7.352810,1,130,3
308,01000011101000001110,6.237861,1,131,3
309,01000010101000001110,6.338184,1,131,3
310,01000010101000001110,6.046681,1,132,3
311,01000011101000001110,6.000409,1,132,3
312,11101111100011000010,5.822026,1,133,3
313,11101111100011000010,5.486984,1,133,3
314,11101111100011000010,5.196034,1,134,3
315,11101111100011000010,4.824017,1,134,3
316,01111011110010000001,5.222250,1,135,3
317,01111011110010000001,5.134192,1,135,3
318,00010100101000010001,8.026790,1,141,3
319,00010100101000010001,7.713335,1,141,3
320,00110100101000010001,8.145094,1,142,3
321,00110100101000010001,7.946621,1,142,3
322,10000110111100010100,6.294647,1,143,3
323,10000110011100010100,6.690234,1,143,3
324,11110000000001110011,6.096001,1,147,3
325,11110000000001110011,5.757997,1,147,3
326,11110000000001110011,7.497570,1,148,3
327,11110000000001110011,7.417876,1,148,3
328,10110101000110001001,6.030848,1,149,3
329,10110101000110001001,5.817358,1,149,3
330,10110101000110001001,5.666473,1,150,3
331,10110101000110001001,5.245081,1,150,3
332,01001100000111101001,6.956448,1,151,3
333,01000100000111101001,6.667630,1,151,3
334,01000100000111101001,9.114408,1,152,3
335,01000100000111101001,9.154716,1,152,3
336,00101000101111100110,5.496641,1,153,3
337,00101000101111100110,5.171094,1,153,3
338,00101000101111100100,5.755255,1,154,3
339,00101000101111100100,5.786832,1,154,3
340,10101001100011011100,6.066957,1,155,3
341,10101001100011011100,5.894500,1,155,3
342,10101001100011011100,5.507271,1,156,3
343,10101001100011011100,5.699238,1,156,3
344,00010010110101010100,6.915700,1,157,3
345,00010010110101010100,6.919726,1,157,3
346,00010010110101010100,5.263980,1,158,3
347,00010010100001010100,5.244555,1,158,3
348,00100010101110111100,6.568675,1,159,3
349,00100010101110111100,6.886269,1,159,3
350,00100010101110111100,7.705438,1,160,3
351,00100010101110111101,7.991211,1,160,3
352,10101001010101010000,5.500819,1,161,3
353,10101001010101110000,5.644066,1,161,3
354,10101001010101110000,7.332150,1,162,3
355,10101001010101110100,7.242286,1,162,3
356,11101111011010101110,5.117358,1,163,3
357,11101111011010101110,5.315554,1,163,3
358,01101111110000010100,6.992008,1,165,3
359,01100111110000010100,7.182948,1,165,3
360,01100111110000010100,6.463576,1,166,3
361,01100111110000010100,6.713844,1,166,3
362,11110000000000110111,5.444905,1,167,3
363,11110000000000110111,5.491039,1,167,3
364,00000010111110101011,6.164889,1,169,3
365,00000010111110101011,6.278359,1,169,3
366,00000010111110101011,6.269638,1,170,3
367,00000010111110101011,6.383420,1,170,3
369,00001111011111110100,11.246988,0,26,3
370,00001111011101111100,11.246988,0,26,3
371,11110001000001110101,11.760417,0,81,3
372,11110001000001110101,11.760417,0,81,3
373,01111100001011100011,8.943959,0,102,3
374,01111100001011100011,8.943959,0,102,3
375,11011011000011011001,10.385443,0,103,3
376,11011011000011011001,10.385443,0,103,3
377,11011011000011011011,10.431014,0,104,3
378,11011011000011011001,10.431014,0,104,3
379,11000100111110101011,9.795063,0,107,3
380,11000100111110101011,9.795063,0,107,3
381,11000100001110101011,12.290349,0,108,3
382,11000100001110101011,12.290349,0,108,3
383,10001110100000110011,10.456579,0,120,3
384,00001110100000110011,10.456579,0,120,3
385,01111011110010000001,9.423972,0,136,3
386,01111011110010000001,9.423972,0,136,3
387,10111101101111011110,9.550892,0,137,3
388,10101101101111011110,9.550892,0,137,3
389,10101101101111011110,7.743088,0,138,3
390,10101101101111011110,7.743088,0,138,3
391,00111110010011110010,10.501366,0,139,3
392,00111110010011110010,10.501366,0,139,3
393,00111110010011110010,7.868962,0,140,3
394,00111110010011110010,7.868962,0,140,3
395,00000110011100010100,11.658335,0,144,3
396,00000110011100010100,11.658335,0,144,3
397,10000110110111011001,10.141557,0,145,3
398,11010110110111011001,10.141557,0,145,3
399,11010110110111011001,9.178570,0,146,3
400,11010110110111011001,9.178570,0,146,3
401,11101101011010101110,7.533354,0,164,3
402,11101101011000101110,7.533354,0,164,3
403,11110000000000110111,11.174572,0,168,3
404,11110000000000110111,11.174572,0,168,3
405,01100101001010111100,8.305845,0,171,3
406,01100101001010111100,8.305845,0,171,3
407,01100101001110111100,9.136759,0,172,3
408,01100101001110111100,9.136759,0,172,3
409,11100110101111001100,7.861867,0,176,3
410,11100110101111001100,7.861867,0,176,3
411,10011111101101101011,8.782462,0,177,3
412,10011111101101101011,8.782462,0,177,3
413,10100010111010100000,8.713737,0,179,3
414,11100010111010110000,8.713737,0,179,3
415,01100110110010100111,7.840783,0,183,3
416,01100110110010100111,7.840783,0,183,3
417,10010011011100010010,9.093117,0,185,3
418,10010011011100010010,9.093117,0,185,3
419,10110011011100010010,7.621179,0,186,3
420,10010011011100010010,7.621179,0,186,3
421,10010110011110111011,7.742272,0,189,3
422,10010110011110111011,7.742272,0,189,3
423,10010110010110111011,8.389725,0,190,3
424,10010100010110111011,8.389725,0,190,3
425,01010010100011001001,8.708568,0,191,3
426,01010010100011001001,8.708568,0,191,3
427,10010001011110100000,9.097610,0,193,3
428,10010001011110100000,9.097610,0,193,3
429,10100101100000000001,9.432526,0,195,3
430,10100101100001000001,9.432526,0,195,3
431,10100101100000000001,10.160294,0,196,3
432,10100101100000010001,10.160294,0,196,3
433,01100001101100101001,8.420670,0,197,3
434,01100001101100101011,8.420670,0,197,3
435,00101101010100011110,8.134735,0,201,3
436,00101101010100010110,8.134735,0,201,3
437,00001100010100111110,8.460030,0,202,3
438,00001100010100111110,8.460030,0,202,3
439,00000111010000011101,9.147358,0,204,3
440,01000111010000011101,9.147358,0,204,3
441,00000111010000011101,10.584494,0,205,3
442,00000111010000011101,10.584494,0,205,3
443,10000111001000110110,10.676979,0,206,3
444,10100111001000110110,10.676979,0,206,3
445,10100111001000110110,8.278284,0,207,3
446,10100111001000110110,8.278284,0,207,3
447,11011101001001001001,10.282424,0,208,3
